respid,sp_age,sp_totinc,sp_retinc,sp_hlth,sp_atr_w,sp_atr_r
3935,61,1999.7761678183867,1999.7761678183867,2,0.09023612951055884,0.09023612951055884
3944,65,19836.804937726396,20549.415558186203,1,0.019491429338130993,0.01720974562199584
3961,66,11061.222884063369,11061.222884063369,1,0.13043171796026462,0.13043171796026462
3975,63,2173.0187085161324,2173.0187085161324,1,0.11942072003961156,0.11942072003961156
3983,70,31076.563566278957,31076.563566278957,1,0.109947884053553,0.109947884053553
3996,0,0.0,0.0,0,0.0,0.0
4003,70,0.0,0.0,1,0.0036441248129150706,0.0036441248129150706
4035,0,0.0,0.0,0,0.0,0.0
4036,64,3875.9203126769926,3875.9203126769926,1,0.1086766538583416,0.1086766538583416
4060,0,0.0,0.0,0,0.0,0.0
4074,70,38027.43143287892,38027.43143287892,1,0.07513779516375513,0.07513779516375513
4078,63,40473.1512168923,40473.1512168923,1,0.11088882898912296,0.11088882898912296
4085,60,0.774572959285388,0.774572959285388,1,0.061112692395466336,0.061112692395466336
4096,69,30663.267080793397,30663.267080793397,1,0.1288790172043878,0.1288790172043878
4111,62,18056.908127062663,19573.10957596104,1,0.024055807009603726,0.07014042178192839
4113,67,15406.19855677985,15406.19855677985,2,0.11495400016335337,0.11495400016335337
4132,60,19653.163373590476,19653.163373590476,1,0.09902199683447874,0.09902199683447874
4134,67,43378.43137081829,43378.43137081829,1,0.06564624061610619,0.06564624061610619
4139,66,60714.75128387689,62674.056610039836,1,0.22871607116905723,0.22108764526218574
4177,70,20275.20020127726,20275.20020127726,1,0.1276069829892503,0.1276069829892503
4182,67,71431.7379664592,71431.7379664592,1,0.20040218670701263,0.20040218670701263
4191,63,10256.004459592841,17975.47333537625,1,0.2201593373919051,0.07852672486368124
4205,70,28034.95412743205,28034.95412743205,1,0.09347809867780713,0.09347809867780713
4210,64,25387.526156155804,25387.526156155804,1,0.16362422742819374,0.16362422742819374
4212,0,0.0,0.0,0,0.0,0.0
4221,65,0.0,0.0,1,0.0274709245036554,0.0274709245036554
4231,60,18638.819879556708,8495.518521548336,1,0.013882535380848656,0.0546175817417539
4232,67,25534.798659991116,25534.798659991116,1,0.10188706125712782,0.10188706125712782
4249,67,4878.385819803641,10000.0,1,0.21593615701868932,0.0
4252,61,37864.34635939086,6999.902955456918,1,0.048978885441145315,4.621119302695758e-06
4264,60,27914.223842875723,27914.223842875723,1,0.08960175473658205,0.08960175473658205
4270,70,0.0,0.0,1,0.008186253765328368,0.008186253765328368
4272,66,28385.1700951432,28385.1700951432,1,0.09013932535836658,0.09013932535836658
4273,67,56116.949192269014,20000.0,1,0.11405225835833877,0.0
4279,60,37817.60561775391,25038.024748294523,1,0.07753052755386156,0.04530793020699808
4292,0,0.0,0.0,0,0.0,0.0
4309,70,33279.98135710613,33279.98135710613,1,0.09970267455563152,0.09970267455563152
4334,66,10170.33683810366,11458.667606768158,1,0.07979402165125155,0.040607305026117924
